user_id,video_time,abs_log_ts,src_label,dst_label,relation,src_instance_id,dst_instance_id,note
P3,57:35,2025-08-23T06:53:33.813391,Rabbit,rabbit,console,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,
P3,1:05:49,2025-08-23T07:01:47.813391,rabbit,balloon,poing,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,instance-a2ba25a1-015c-43f3-9223-a565c3cb83d2,
P4,44:08,2025-08-25T12:54:46.993017,Bunny,tree,looking up,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,instance-9980c51d-0433-417d-ad9c-276aefef7c0a,
P4,44:18,2025-08-25T12:54:56.993017,Bunny,tree,looking up,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,instance-9980c51d-0433-417d-ad9c-276aefef7c0a,
P4,44:37,2025-08-25T12:55:15.993017,bunny,tree,looking up,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,instance-9980c51d-0433-417d-ad9c-276aefef7c0a,
P4,48:03,2025-08-25T12:58:41.993017,Bunny,tree,hanging on the highest branch of the tree,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,instance-9980c51d-0433-417d-ad9c-276aefef7c0a,
P4,48:52,2025-08-25T12:59:30.993017,Bunny,bunny,looking down at,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,
P4,50:55,2025-08-25T13:01:33.993017,Bunny,balloon,holding,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,object3,
P4,51:12,2025-08-25T13:01:50.993017,Bunny,Bunny,looking down at,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,
P4,1:01:56,2025-08-25T13:12:34.993017,bunny,balloon,looking at,instance-7d3e7ac0-4d90-4885-8dba-40e51d210058,object3,
P5,43:49,2025-08-30T00:32:29.158284,tree,balloon,related,object3,object3,
P5,44:20,2025-08-30T00:33:00.158284,rabbit,tree,looking at,instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7,object3,
P5,44:26,2025-08-30T00:33:06.158284,rabbit,tree,pointing at,instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7,object3,
P5,44:44,2025-08-30T00:33:24.158284,rabbit,tree,looking at,instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7,object3,
P5,49:01,2025-08-30T00:37:41.158284,tree,rabbit,on the,object3,instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7,
P5,49:20,2025-08-30T00:38:00.158284,tree,balloon,on the,object3,object3,
P5,49:26,2025-08-30T00:38:06.158284,rabbit,balloon,looking at,instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7,object3,
P5,49:43,2025-08-30T00:38:23.158284,rabbit,balloon,looking at,instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7,object3,
P5,53:38,2025-08-30T00:42:18.158284,rabbit,balloon,holding,instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7,object3,
P6,34:39,2025-08-30T02:14:35.630419,rabbit,balloon,looking,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,instance-c8069a7d-12ce-4e91-bf2f-c0ec58e2ce4e,
P6,34:38,2025-08-30T02:14:34.630419,rabbit,balloon,looking,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,instance-c8069a7d-12ce-4e91-bf2f-c0ec58e2ce4e,
P6,34:40,2025-08-30T02:14:36.630419,Rabbit,balloon,looking,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,instance-c8069a7d-12ce-4e91-bf2f-c0ec58e2ce4e,
P6,37:08,2025-08-30T02:17:04.630419,tree,balloon,holding,instance-24f60100-c36f-4265-8583-6361caeda322,instance-c8069a7d-12ce-4e91-bf2f-c0ec58e2ce4e,
P6,41:01,2025-08-30T02:20:57.630419,Rabbit,tree,on,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,instance-24f60100-c36f-4265-8583-6361caeda322,
P6,47:05,2025-08-30T02:27:01.630419,rabbit,rabbit,holding hands,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,
P6,48:01,2025-08-30T02:27:57.630419,rabbit,rabbit,holding hands,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,instance-423df8d8-b63f-4339-a5b9-2707ec0bbe01,
