user_id,video_time,abs_log_ts,src_label,dst_label,relation,src_instance_id,dst_instance_id,note
P6,9:00,2025-08-20T05:37:58.031337,girl,Balloon,holding,instance-e3a15c33-9cc1-4d0f-a07f-f4516ea6d13c,9bb23018-1bb1-42f9-bcf3-b1f8a4b96c0d,
P6,15:30,2025-08-20T05:44:28.031337,man,tray,holding,instance-4365bf88-167a-4de5-b58e-9145d8d18d10,instance-d2c604f4-d8cc-4023-8cf3-87dcbf807d43,
P7,37:45,2025-08-20T11:23:53.204696,Man,box,holding,instance-e31a7f32-eead-426d-b28e-f76cad91bda6,instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a,
P7,38:16,2025-08-20T11:24:24.204696,Woman,box,holding,instance-45b6c4d0-7b0f-467c-8c05-028ebf2b7812,instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a,
P7,38:32,2025-08-20T11:24:40.204696,man,Girl,looking at,instance-e31a7f32-eead-426d-b28e-f76cad91bda6,instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9,
P8,13:05,2025-08-21T02:07:19.647029,man,woman,looking at,instance-d3274642-0337-44f0-a41e-92f277f500d8,instance-7e23c39d-2035-4297-84b7-23cc3107a123,
P8,16:10,2025-08-21T02:10:24.647029,Man,woman,looking at,instance-d3274642-0337-44f0-a41e-92f277f500d8,instance-7e23c39d-2035-4297-84b7-23cc3107a123,
P8,20:15,2025-08-21T02:14:29.647029,Woman,woman,looking at,instance-7e23c39d-2035-4297-84b7-23cc3107a123,instance-7e23c39d-2035-4297-84b7-23cc3107a123,
P10,20:40,2025-08-21T10:07:28.065615,Father,basket,holding,instance-fee447db-cd2f-4f4c-a679-9311c569864b,instance-e3fe4e70-111a-4729-a976-3179b2eeeff7,
P12,30:30,2025-08-22T01:50:21.331618,ballon,Girl,girl is holding balloon in she’s left hand,instance-470847a6-9e2b-4b7b-a62a-f5dd15e69fb2,instance-cf6605bc-2548-41c3-acf8-8dc3ba6a4a66,
P12,31:31,2025-08-22T01:51:22.331618,bear,Girl,holding teddy on she’s right hand,instance-be533702-47bf-4ce5-8fc8-9354ce35bd3a,instance-cf6605bc-2548-41c3-acf8-8dc3ba6a4a66,
P12,32:45,2025-08-22T01:52:36.331618,tray,Man,put on his left hand,instance-c5883550-072f-4f33-bfb3-17bf4500b647,instance-72d11b4f-49be-4414-ab8e-e99a9a16affb,
P12,34:00,2025-08-22T01:53:51.331618,basket,Woman,holding basket with the man,instance-2edeb3dc-1b9c-4a71-a598-40ffe3fb5db1,instance-0f7f81ab-cbed-4ab0-99b5-84f2dbf60965,
P12,34:20,2025-08-22T01:54:11.331618,basket,male,holding basket with the woman,instance-2edeb3dc-1b9c-4a71-a598-40ffe3fb5db1,instance-fa073d1b-4e8c-436d-8ec2-ee84dbeb7830,
