participant,system,image_path,target_image_id,rating,total,correct,accuracy
P12,system2,./output/P12/2025-08-22_01-55-38/image.png,target1,3.0,19,12,0.631578947368421
P12,system2,./output/P12/2025-08-22_01-59-43/image.png,target1,4.0,19,15,0.7894736842105263
P2,system1,./output/P2/2025-08-14_01-41-53/image.png,target2,5.0,19,16,0.8421052631578947
P2,system1,./output/P2/2025-08-14_01-44-22/image.png,target2,5.0,19,14,0.7368421052631579
P2,system1,./output/P2/2025-08-14_01-46-45/image.png,target2,5.0,19,15,0.7894736842105263
P2,system2,./output/P2/2025-08-14_01-25-04/image.png,target1,3.0,19,14,0.7368421052631579
P2,system2,./output/P2/2025-08-14_01-29-33/image.png,target1,4.0,19,13,0.6842105263157895
P2,system2,./output/P2/2025-08-14_01-32-16/image.png,target1,3.0,19,12,0.631578947368421
P2,system2,./output/P2/2025-08-14_01-34-21/image.png,target1,4.0,19,12,0.631578947368421
P3,system1,./output/P3/2025-08-14_03-52-43/image.png,target1,4.0,19,12,0.631578947368421
P3,system1,./output/P3/2025-08-14_04-00-21/image.png,target1,4.0,19,12,0.631578947368421
P3,system1,./output/P3/2025-08-14_04-04-40/image.png,target1,4.0,19,12,0.631578947368421
P3,system2,./output/P3/2025-08-14_04-22-01/image.png,target2,6.0,19,14,0.7368421052631579
P3,system2,./output/P3/2025-08-14_04-28-46/image.png,target2,3.0,19,13,0.6842105263157895
P3,system2,./output/P3/2025-08-14_04-36-00/image.png,target2,5.0,19,16,0.8421052631578947
P4,system1,./output/P4/2025-08-14_13-48-47/image.png,target1,4.0,19,13,0.6842105263157895
P4,system1,./output/P4/2025-08-14_13-57-22/image.png,target1,4.0,19,14,0.7368421052631579
P4,system1,./output/P4/2025-08-14_14-00-09/image.png,target1,5.0,19,15,0.7894736842105263
P4,system2,./output/P4/2025-08-14_14-27-59/image.png,target2,4.0,19,11,0.5789473684210527
P4,system2,./output/P4/2025-08-14_14-37-32/image.png,target2,5.0,19,18,0.9473684210526315
P5,system1,./output/P5/2025-08-19_07-43-25/image.png,target1,3.0,19,5,0.2631578947368421
P5,system1,./output/P5/2025-08-19_07-44-12/image.png,target1,6.0,19,5,0.2631578947368421
P5,system1,./output/P5/2025-08-19_07-46-21/image.png,target1,6.0,19,8,0.42105263157894735
P5,system1,./output/P5/2025-08-19_07-51-25/image.png,target1,6.0,19,13,0.6842105263157895
P5,system1,./output/P5/2025-08-19_07-55-00/image.png,target1,5.0,19,10,0.5263157894736842
P5,system1,./output/P5/2025-08-19_07-56-31/image.png,target1,7.0,19,15,0.7894736842105263
P5,system2,./output/P5/2025-08-19_07-10-59/image.png,target2,5.0,19,5,0.2631578947368421
P5,system2,./output/P5/2025-08-19_07-12-47/image.png,target2,4.0,19,4,0.21052631578947367
P5,system2,./output/P5/2025-08-19_07-21-06/image.png,target2,5.0,19,5,0.2631578947368421
P5,system2,./output/P5/2025-08-19_07-22-29/image.png,target2,7.0,19,7,0.3684210526315789
P5,system2,./output/P5/2025-08-19_07-27-44/image.png,target2,5.0,19,9,0.47368421052631576
P5,system2,./output/P5/2025-08-19_07-30-06/image.png,target2,6.0,19,10,0.5263157894736842
P5,system2,./output/P5/2025-08-19_07-37-26/image.png,target2,6.0,19,12,0.631578947368421
P5,system2,./output/P5/2025-08-19_07-38-50/image.png,target2,6.0,19,13,0.6842105263157895
P6,system1,./output/P6/2025-08-20_05-55-41/image.png,target2,4.0,19,14,0.7368421052631579
P6,system1,./output/P6/2025-08-20_05-56-32/image.png,target2,4.0,19,14,0.7368421052631579
P6,system1,./output/P6/2025-08-20_05-57-30/image.png,target2,4.0,19,14,0.7368421052631579
P6,system2,./output/P6/2025-08-20_05-35-13/image.png,target1,3.0,19,10,0.5263157894736842
P6,system2,./output/P6/2025-08-20_05-39-43/image.png,target1,4.0,19,12,0.631578947368421
P6,system2,./output/P6/2025-08-20_05-41-34/image.png,target1,5.0,19,11,0.5789473684210527
P6,system2,./output/P6/2025-08-20_05-43-03/image.png,target1,5.0,19,10,0.5263157894736842
P6,system2,./output/P6/2025-08-20_05-45-00/image.png,target1,6.0,19,12,0.631578947368421
P6,system2,./output/P6/2025-08-20_05-48-52/image.png,target1,6.0,19,12,0.631578947368421
P7,system1,./output/P7/2025-08-20_10-56-07/image.png,target2,6.0,19,14,0.7368421052631579
P7,system1,./output/P7/2025-08-20_11-00-23/image.png,target2,5.0,19,17,0.8947368421052632
P7,system1,./output/P7/2025-08-20_11-04-08/image.png,target2,6.0,19,16,0.8421052631578947
P7,system2,./output/P7/2025-08-20_11-27-44/image.png,target1,6.0,19,14,0.7368421052631579
P7,system2,./output/P7/2025-08-20_11-33-21/image.png,target1,7.0,19,12,0.631578947368421
P7,system2,./output/P7/2025-08-20_11-38-48/image.png,target1,5.0,19,11,0.5789473684210527
P7,system2,./output/P7/2025-08-20_11-40-24/image.png,target1,5.0,19,11,0.5789473684210527
P8,system1,./output/P8/2025-08-21_02-50-29/image.png,target1,4.0,19,12,0.631578947368421
P8,system2,./output/P8/2025-08-21_02-17-11/image.png,target2,3.0,19,15,0.7894736842105263
P8,system2,./output/P8/2025-08-21_02-34-05/image.png,target2,1.0,19,14,0.7368421052631579
P8,system2,./output/P8/2025-08-21_02-35-06/image.png,target2,1.0,19,13,0.6842105263157895
P9,system1,./output/P9/2025-08-22_13-36-04/image.png,target1,3.0,19,11,0.5789473684210527
P9,system1,./output/P9/2025-08-22_13-37-42/image.png,target1,5.0,19,12,0.631578947368421
P9,system1,./output/P9/2025-08-22_13-39-16/image.png,target1,5.0,19,13,0.6842105263157895
P9,system1,./output/P9/2025-08-22_13-39-55/image.png,target1,5.0,19,12,0.631578947368421
P9,system2,./output/P9/2025-08-22_14-01-14/image.png,target2,4.0,19,11,0.5789473684210527
P9,system2,./output/P9/2025-08-22_14-04-58/image.png,target2,5.0,19,13,0.6842105263157895
P9,system2,./output/P9/2025-08-22_14-08-38/image.png,target2,6.0,19,15,0.7894736842105263
