participant,system,image_path,target_image_id,rating,total,correct,accuracy
P11,system2,./output/P11/2025-08-23_09-14-44/image.png,target2,1.0,31,21,0.6774193548387096
P12,system1,./output/P12/2025-08-22_02-15-34/image.png,target2,3.0,31,17,0.5483870967741935
P12,system1,./output/P12/2025-08-22_02-19-59/image.png,target2,3.0,31,18,0.5806451612903226
P12,system2,./output/P12/2025-08-22_01-55-38/image.png,target1,3.0,29,18,0.6206896551724138
P12,system2,./output/P12/2025-08-22_01-59-43/image.png,target1,4.0,29,23,0.7931034482758621
P2,system1,./output/P2/2025-08-14_01-41-53/image.png,target2,5.0,31,26,0.8387096774193549
P2,system1,./output/P2/2025-08-14_01-44-22/image.png,target2,5.0,31,22,0.7096774193548387
P2,system1,./output/P2/2025-08-14_01-46-45/image.png,target2,5.0,31,25,0.8064516129032258
P2,system2,./output/P2/2025-08-14_01-25-04/image.png,target1,3.0,29,20,0.6896551724137931
P2,system2,./output/P2/2025-08-14_01-29-33/image.png,target1,4.0,29,22,0.7586206896551724
P2,system2,./output/P2/2025-08-14_01-32-16/image.png,target1,3.0,29,21,0.7241379310344828
P2,system2,./output/P2/2025-08-14_01-34-21/image.png,target1,4.0,29,21,0.7241379310344828
P3,system1,./output/P3/2025-08-14_03-52-43/image.png,target1,4.0,29,20,0.6896551724137931
P3,system1,./output/P3/2025-08-14_04-00-21/image.png,target1,4.0,29,20,0.6896551724137931
P3,system1,./output/P3/2025-08-14_04-04-40/image.png,target1,4.0,29,20,0.6896551724137931
P3,system2,./output/P3/2025-08-14_04-22-01/image.png,target2,6.0,31,23,0.7419354838709677
P3,system2,./output/P3/2025-08-14_04-28-46/image.png,target2,3.0,31,22,0.7096774193548387
P3,system2,./output/P3/2025-08-14_04-36-00/image.png,target2,5.0,31,23,0.7419354838709677
P4,system1,./output/P4/2025-08-14_13-48-47/image.png,target1,4.0,29,20,0.6896551724137931
P4,system1,./output/P4/2025-08-14_13-57-22/image.png,target1,4.0,29,20,0.6896551724137931
P4,system1,./output/P4/2025-08-14_14-00-09/image.png,target1,5.0,29,22,0.7586206896551724
P4,system2,./output/P4/2025-08-14_14-27-59/image.png,target2,4.0,31,21,0.6774193548387096
P4,system2,./output/P4/2025-08-14_14-37-32/image.png,target2,5.0,31,25,0.8064516129032258
P5,system1,./output/P5/2025-08-19_07-43-25/image.png,target1,3.0,29,6,0.20689655172413793
P5,system1,./output/P5/2025-08-19_07-44-12/image.png,target1,6.0,29,7,0.2413793103448276
P5,system1,./output/P5/2025-08-19_07-46-21/image.png,target1,6.0,29,9,0.3103448275862069
P5,system1,./output/P5/2025-08-19_07-51-25/image.png,target1,6.0,29,19,0.6551724137931034
P5,system1,./output/P5/2025-08-19_07-55-00/image.png,target1,5.0,29,19,0.6551724137931034
P5,system1,./output/P5/2025-08-19_07-56-31/image.png,target1,7.0,29,24,0.8275862068965517
P5,system2,./output/P5/2025-08-19_07-10-59/image.png,target2,5.0,31,3,0.0967741935483871
P5,system2,./output/P5/2025-08-19_07-12-47/image.png,target2,4.0,31,5,0.16129032258064516
P5,system2,./output/P5/2025-08-19_07-21-06/image.png,target2,5.0,31,6,0.1935483870967742
P5,system2,./output/P5/2025-08-19_07-22-29/image.png,target2,7.0,31,6,0.1935483870967742
P5,system2,./output/P5/2025-08-19_07-27-44/image.png,target2,5.0,31,9,0.2903225806451613
P5,system2,./output/P5/2025-08-19_07-30-06/image.png,target2,6.0,31,11,0.3548387096774194
P5,system2,./output/P5/2025-08-19_07-37-26/image.png,target2,6.0,31,16,0.5161290322580645
P5,system2,./output/P5/2025-08-19_07-38-50/image.png,target2,6.0,31,17,0.5483870967741935
P6,system1,./output/P6/2025-08-20_05-55-41/image.png,target2,4.0,31,23,0.7419354838709677
P6,system1,./output/P6/2025-08-20_05-56-32/image.png,target2,4.0,31,23,0.7419354838709677
P6,system1,./output/P6/2025-08-20_05-57-30/image.png,target2,4.0,31,22,0.7096774193548387
P6,system2,./output/P6/2025-08-20_05-35-13/image.png,target1,3.0,29,14,0.4827586206896552
P6,system2,./output/P6/2025-08-20_05-39-43/image.png,target1,4.0,29,19,0.6551724137931034
P6,system2,./output/P6/2025-08-20_05-41-34/image.png,target1,5.0,29,17,0.5862068965517241
P6,system2,./output/P6/2025-08-20_05-43-03/image.png,target1,5.0,29,16,0.5517241379310345
P6,system2,./output/P6/2025-08-20_05-45-00/image.png,target1,6.0,29,17,0.5862068965517241
P6,system2,./output/P6/2025-08-20_05-48-52/image.png,target1,6.0,29,20,0.6896551724137931
P7,system1,./output/P7/2025-08-20_10-56-07/image.png,target2,6.0,31,23,0.7419354838709677
P7,system1,./output/P7/2025-08-20_11-00-23/image.png,target2,5.0,31,25,0.8064516129032258
P7,system1,./output/P7/2025-08-20_11-04-08/image.png,target2,6.0,31,24,0.7741935483870968
P7,system2,./output/P7/2025-08-20_11-27-44/image.png,target1,6.0,29,22,0.7586206896551724
P7,system2,./output/P7/2025-08-20_11-33-21/image.png,target1,7.0,29,22,0.7586206896551724
P7,system2,./output/P7/2025-08-20_11-38-48/image.png,target1,5.0,29,19,0.6551724137931034
P7,system2,./output/P7/2025-08-20_11-40-24/image.png,target1,5.0,29,18,0.6206896551724138
P8,system1,./output/P8/2025-08-21_02-50-29/image.png,target1,4.0,29,15,0.5172413793103449
P8,system2,./output/P8/2025-08-21_02-17-11/image.png,target2,3.0,31,19,0.6129032258064516
P8,system2,./output/P8/2025-08-21_02-34-05/image.png,target2,1.0,31,17,0.5483870967741935
P8,system2,./output/P8/2025-08-21_02-35-06/image.png,target2,1.0,31,21,0.6774193548387096
P9,system1,./output/P9/2025-08-22_13-36-04/image.png,target1,3.0,29,20,0.6896551724137931
P9,system1,./output/P9/2025-08-22_13-37-42/image.png,target1,5.0,29,21,0.7241379310344828
P9,system1,./output/P9/2025-08-22_13-39-16/image.png,target1,5.0,29,23,0.7931034482758621
P9,system1,./output/P9/2025-08-22_13-39-55/image.png,target1,5.0,29,21,0.7241379310344828
P9,system2,./output/P9/2025-08-22_14-01-14/image.png,target2,4.0,31,20,0.6451612903225806
P9,system2,./output/P9/2025-08-22_14-04-58/image.png,target2,5.0,31,20,0.6451612903225806
P9,system2,./output/P9/2025-08-22_14-08-38/image.png,target2,6.0,31,24,0.7741935483870968
