type,key,event_time,event
instance,instance-8eb4b1c9-95b9-4b1a-b163-8e844f2fdc82,2000-01-01 06:52:22,instance.created_from_class
delete_row,,2000-01-01 06:53:45,instance.deleted
delete_row,,2000-01-01 06:55:07,relationship_node.deleted
delete_row,,2000-01-01 06:55:14,relationship_node.deleted
delete_row,,2000-01-01 07:01:11,instance.deleted
delete_row,,2000-01-01 07:01:44,relationship_node.deleted
instance,instance-a407e81f-4d34-4660-81b4-316c2d2366d7,2000-01-01 08:35:11,instance.created_from_class
instance,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,2000-01-01 08:36:32,instance.updated.text
delete_row,,2000-01-01 08:41:05,instance.deleted
instance,instance-ee18810a-dc3c-4744-9f9b-a6e15d8f7999,2000-01-01 08:41:33,instance.updated.text
instance,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,2000-01-01 08:41:43,instance.updated.text
delete_row,,2000-01-01 08:44:08,instance.deleted
delete_row,,2000-01-01 08:44:11,instance.deleted
delete_row,,2000-01-01 08:44:16,instance.deleted
delete_row,,2000-01-01 08:44:21,instance.deleted
delete_row,,2000-01-01 08:44:53,instance.deleted
delete_row,,2000-01-01 08:56:20,instance.deleted
delete_row,,2000-01-01 09:07:56,relationship_node.deleted
delete_row,,2000-01-01 09:08:00,relationship_node.deleted
delete_row,,2000-01-01 09:08:01,relationship_node.deleted
instance,d4aafb76-910c-46fc-83dc-9c55cf29efb5,2000-01-01 09:14:18,instance.created_from_detection
delete_row,,2000-01-01 09:16:09,instance.deleted
instance,e03d7df2-dfc6-4c77-a8c0-adf28299d8be,2000-01-01 09:16:21,instance.created_from_detection
delete_row,,2000-01-01 09:16:33,instance.deleted
delete_row,,2000-01-01 09:18:22,instance.deleted
instance,instance-e5cdad69-c28f-481f-b3d8-4a041664bf6d,2000-01-01 12:42:48,instance.save
instance,instance-e5cdad69-c28f-481f-b3d8-4a041664bf6d,2000-01-01 12:42:51,instance.updated.text
delete_row,,2000-01-01 12:48:17,instance.deleted
class,class-27ee970f-e122-4e0d-872b-d9a0974a7f66,2000-01-01 12:50:25,class.created
delete_row,,2000-01-01 12:51:11,class_deleted
delete_row,,2000-01-01 12:51:11,class.deleted
instance,instance-9ee7bf39-f386-47ba-95f4-3028ec2c9f77,2000-01-01 12:53:06,instance.created_from_class
instance,instance-d18190bc-2ec7-483c-a253-3b67ceefad02,2000-01-01 12:53:40,instance.created_from_class
instance,bfd344e8-9e71-4ca5-b8e8-014d55785fcd,2000-01-01 12:57:48,instance.created_from_detection
delete_row,,2000-01-01 12:58:06,instance.deleted
delete_row,,2000-01-01 12:58:11,relationship_node.deleted
instance,instance-9980c51d-0433-417d-ad9c-276aefef7c0a,2000-01-01 12:59:57,instance.save
instance,instance-9980c51d-0433-417d-ad9c-276aefef7c0a,2000-01-01 12:59:57,instance.updated.graph
instance,instance-d18190bc-2ec7-483c-a253-3b67ceefad02,2000-01-01 13:03:55,instance.save
instance,instance-d18190bc-2ec7-483c-a253-3b67ceefad02,2000-01-01 13:03:58,instance.updated.graph
instance,instance-9ee7bf39-f386-47ba-95f4-3028ec2c9f77,2000-01-01 13:04:09,instance.save
instance,instance-9ee7bf39-f386-47ba-95f4-3028ec2c9f77,2000-01-01 13:04:10,instance.updated.graph
delete_row,,2000-01-01 13:07:44,instance.deleted
delete_row,,2000-01-01 13:07:51,instance.deleted
delete_row,,2000-01-01 13:07:58,instance.deleted
instance,instance-664e6a19-8255-431a-967a-3ca625608ba3,2000-01-01 13:12:18,instance.save
instance,instance-664e6a19-8255-431a-967a-3ca625608ba3,2000-01-01 13:12:20,instance.updated.text
instance,instance-664e6a19-8255-431a-967a-3ca625608ba3,2000-01-01 13:15:59,instance.save
instance,instance-664e6a19-8255-431a-967a-3ca625608ba3,2000-01-01 13:16:01,instance.updated.text
instance,instance-664e6a19-8255-431a-967a-3ca625608ba3,2000-01-01 13:16:09,instance.save
instance,instance-664e6a19-8255-431a-967a-3ca625608ba3,2000-01-01 13:16:12,instance.updated.text
delete_row,,2000-01-01 13:20:45,instance.deleted
